,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
372194,1327,73,2,989689722,M,1,10,12159,"Misérables, Les (1995)",Drama|Musical,False
905143,4663,1228,4,963866233,M,25,4,92037,Raging Bull (1980),Drama,False
369635,3097,1639,3,969910209,F,25,5,10021,Chasing Amy (1997),Drama|Romance,False
999679,1470,3212,3,974838528,M,18,4,94118,Born to Win (1971),Drama,False
745667,3940,2409,3,965748252,M,35,20,32708,Rocky II (1979),Action|Drama,False
10972,5524,594,4,959638642,F,1,10,26505,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,False
460389,4064,3034,2,965477321,M,45,0,20851,Robin Hood (1973),Animation|Children's,False
327989,3155,364,4,968896371,M,25,7,55112,"Lion King, The (1994)",Animation|Children's|Musical,False
299056,3674,913,5,966364852,M,25,20,29205,"Maltese Falcon, The (1941)",Film-Noir|Mystery,False
291937,1300,3113,2,974789095,M,1,10,97201,End of Days (1999),Action|Thriller,False
617861,1701,2394,3,984452984,F,25,4,97233,"Prince of Egypt, The (1998)",Animation|Musical,False
311638,601,562,4,975881406,F,18,20,06320,Welcome to the Dollhouse (1995),Comedy|Drama,False
755818,402,2144,4,976295852,M,25,11,55427,Sixteen Candles (1984),Comedy,False
45409,3592,1962,5,966646176,F,56,2,99701,Driving Miss Daisy (1989),Drama,False
109982,5156,2858,5,961944637,M,18,14,10024,American Beauty (1999),Comedy|Drama,False
407056,77,3826,1,977813509,M,18,4,15321,Hollow Man (2000),Horror|Sci-Fi|Thriller,False
814226,728,1680,3,975515063,M,25,6,11598,Sliding Doors (1998),Drama|Romance,False
286672,844,908,5,975360056,M,25,0,92121,North by Northwest (1959),Drama|Thriller,False
883417,1733,376,3,977462396,M,18,14,43725,"River Wild, The (1994)",Action|Thriller,False
935071,3900,3299,3,976658550,F,25,14,55343,Hanging Up (2000),Comedy|Drama,False
637520,1759,1614,4,974788552,M,25,16,22112,In & Out (1997),Comedy,False
146674,2581,3735,3,973888758,M,25,11,60611,Serpico (1973),Crime|Drama,False
815789,1437,3504,4,974843248,M,50,3,89102,Network (1976),Comedy|Drama,False
207199,3308,2617,4,967974950,F,18,20,15701-1348,"Mummy, The (1999)",Action|Adventure|Horror|Thriller,False
987177,304,2008,1,976502560,M,25,0,55414,"This World, Then the Fireworks (1996)",Crime|Drama|Film-Noir,False
197409,4541,1580,5,964673634,M,1,10,55427,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
299119,4054,913,5,965497084,M,35,3,68122,"Maltese Falcon, The (1941)",Film-Noir|Mystery,False
453956,3292,1283,5,968100913,F,50,6,79410,High Noon (1952),Western,False
688018,3836,2990,3,965927078,F,50,8,84770,Licence to Kill (1989),Action,False
56928,270,608,5,976653486,M,50,14,55414,Fargo (1996),Crime|Drama|Thriller,False
239512,5271,47,3,961140541,F,25,0,94110,Seven (Se7en) (1995),Crime|Thriller,False
117978,3032,480,5,970342138,M,25,0,47303,Jurassic Park (1993),Action|Adventure|Sci-Fi,False
730344,1244,1249,4,975339549,M,25,4,22030,Nikita (La Femme Nikita) (1990),Thriller,False
954427,4277,387,3,976789438,M,35,16,98133,"Low Down Dirty Shame, A (1994)",Action|Comedy,False
471650,466,2174,3,976227026,M,25,5,55405,Beetlejuice (1988),Comedy|Fantasy,False
820299,346,907,5,976334393,F,25,0,55110,"Gay Divorcee, The (1934)",Comedy|Musical|Romance,False
930448,1088,631,1,990060873,F,1,10,98103,All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical,False
490903,5239,858,5,961441156,M,35,7,07043,"Godfather, The (1972)",Action|Crime|Drama,False
143520,2896,1917,5,972003249,M,18,14,60073,Armageddon (1998),Action|Adventure|Sci-Fi|Thriller,False
209895,2016,2115,5,974733539,F,56,2,20783,Indiana Jones and the Temple of Doom (1984),Action|Adventure,False
859281,583,2456,3,975958181,F,25,0,48067,"Fly II, The (1989)",Horror|Sci-Fi,False
732698,5077,659,5,962653887,M,25,2,20037,Purple Noon (1960),Crime|Thriller,False
710732,5350,1405,3,960662970,M,18,5,55344,Beavis and Butt-head Do America (1996),Animation|Comedy,False
359116,5401,3148,4,960260373,F,18,1,20003,"Cider House Rules, The (1999)",Drama,False
966515,3569,2730,4,967143335,F,18,2,48823,Barry Lyndon (1975),Drama,False
864354,1001,1821,4,976298016,M,25,4,90210,"Object of My Affection, The (1998)",Comedy|Romance,False
908382,1470,959,3,974836951,M,18,4,94118,Of Human Bondage (1934),Drama,False
517562,4897,2872,4,962717990,M,35,16,16844,Excalibur (1981),Action|Drama|Fantasy|Romance,False
842056,2038,1081,4,974669511,F,45,1,33301,Victor/Victoria (1982),Comedy|Musical,False
